(((16, 1), (1, 1)), 15)
(((1, 3), (3, 1)), 38)
(((3, 1), (1, 1)), 2)FOOD
(((17, 1), (4, 1)), 13)
(((8, 1), (1, 1)), 7)
(((4, 1), (13, 5)), 27)FOOD
(((6, 3), (2, 1)), 34)
(((7, 4), (13, 5)), 7)FOOD
(((3, 1), (14, 5)), 29)FOOD
(((18, 5), (3, 1)), 19)
(((5, 1), (1, 5)), 38)FOOD
(((11, 5), (1, 5)), 10)
(((3, 1), (4, 1)), 1)FOOD
(((2, 3), (4, 1)), 36)
(((15, 3), (2, 1)), 25)
(((2, 5), (10, 4)), 9)
(((15, 3), (5, 1)), 22)
(((1, 1), (7, 4)), 35)FOOD
(((16, 5), (1, 1)), 23)
(((3, 5), (1, 1)), 40)
(((8, 3), (4, 1)), 30)
(((17, 1), (5, 1)), 12)
(((8, 5), (7, 4)), 2)
(((4, 5), (13, 4)), 10)
(((4, 4), (1, 1)), 38)FOOD
(((18, 5), (2, 1)), 20)
(((1, 4), (2, 1)), 40)FOOD
(((4, 3), (5, 1)), 33)
(((7, 4), (2, 1)), 34)FOOD
(((10, 5), (1, 4)), 10)
(((6, 5), (13, 5)), 7)
(((14, 1), (13, 4)), 16)
(((3, 5), (4, 1)), 37)
(((8, 3), (1, 1)), 33)
(((13, 1), (5, 1)), 8)
(((4, 4), (10, 4)), 8)FOOD
(((11, 3), (5, 1)), 26)
(((13, 1), (2, 1)), 11)
(((4, 3), (10, 4)), 7)
(((6, 1), (4, 1)), 2)
